20:10:18,337 [main] INFO  MultiChartView - Init Start
20:10:54,557 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-09,9.740000,9.770000,9.700000,9.720000,9.720000,32400
20:10:54,559 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-10,9.790000,9.790000,9.690000,9.700000,9.700000,28700
20:10:54,560 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-11,9.680000,9.720000,9.680000,9.710000,9.710000,29400
20:10:54,561 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-12,9.700000,9.740000,9.680000,9.690000,9.690000,61200
20:10:54,563 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-13,9.740000,9.740000,9.680000,9.710000,9.710000,31500
20:10:54,564 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-16,9.720000,9.730000,9.690000,9.720000,9.720000,170700
20:10:54,566 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-17,9.720000,9.720000,9.680000,9.720000,9.720000,147100
20:10:54,568 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-18,9.720000,9.720000,9.700000,9.710000,9.710000,38900
20:10:54,569 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-19,9.670000,9.710000,9.660000,9.670000,9.670000,68000
20:10:54,571 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-20,9.690000,9.690000,9.660000,9.670000,9.670000,57500
20:10:54,572 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-23,9.670000,9.700000,9.660000,9.690000,9.690000,190500
20:10:54,574 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-24,9.690000,9.690000,9.670000,9.670000,9.670000,10000
20:10:54,576 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-25,9.670000,9.690000,9.660000,9.690000,9.690000,152200
20:10:54,578 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-26,9.700000,9.700000,9.670000,9.680000,9.680000,59600
20:10:54,580 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-27,9.700000,9.700000,9.660000,9.700000,9.700000,243700
20:10:54,581 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-30,9.680000,9.700000,9.660000,9.680000,9.680000,1083900
20:10:54,583 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-08-31,9.680000,9.710000,9.670000,9.710000,9.710000,433200
20:10:54,585 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-01,9.710000,9.710000,9.690000,9.700000,9.700000,1120100
20:10:54,586 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-02,9.700000,9.720000,9.700000,9.700000,9.700000,86400
20:10:54,588 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-03,9.710000,9.730000,9.710000,9.720000,9.720000,132600
20:10:54,590 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-07,9.720000,9.730000,9.710000,9.720000,9.720000,994400
20:10:54,592 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-08,9.700000,9.720000,9.700000,9.710000,9.710000,1375300
20:10:54,593 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-09,9.710000,9.740000,9.710000,9.740000,9.740000,192500
20:10:54,595 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-10,9.730000,9.790000,9.720000,9.760000,9.760000,2826400
20:10:54,597 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-13,9.760000,9.790000,9.720000,9.780000,9.780000,563100
20:10:54,599 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-14,9.780000,9.780000,9.750000,9.770000,9.770000,1644700
20:10:54,616 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-15,9.770000,9.770000,9.750000,9.760000,9.760000,12500
20:10:54,622 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-16,9.750000,9.760000,9.730000,9.750000,9.750000,48900
20:10:54,626 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-17,9.740000,9.760000,9.720000,9.740000,9.740000,226800
20:10:54,629 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-20,9.720000,9.740000,9.700000,9.730000,9.730000,366400
20:10:54,631 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-21,9.720000,9.760000,9.720000,9.740000,9.740000,124600
20:10:54,634 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-22,9.710000,9.760000,9.710000,9.760000,9.760000,234200
20:10:54,636 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-23,9.770000,9.770000,9.739000,9.750000,9.750000,4800
20:10:54,637 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-24,9.740000,9.750000,9.730000,9.750000,9.750000,38500
20:10:54,639 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-27,9.730000,9.760000,9.730000,9.760000,9.760000,22800
20:10:54,641 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-28,9.750000,9.760000,9.710000,9.750000,9.750000,639400
20:10:54,642 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-29,9.770000,9.770000,9.720000,9.740000,9.740000,110800
20:10:54,645 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-09-30,9.740000,9.760000,9.740000,9.740000,9.740000,52900
20:10:54,647 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-01,9.740000,9.770000,9.740000,9.760000,9.760000,14500
20:10:54,649 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-04,9.770000,9.770000,9.750000,9.770000,9.770000,1407400
20:10:54,650 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-05,9.760000,9.780000,9.750000,9.770000,9.770000,298300
20:10:54,652 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-06,9.770000,9.770000,9.750000,9.770000,9.770000,97000
20:10:54,654 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-07,9.770000,9.780000,9.750000,9.760000,9.760000,7200
20:10:54,655 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-08,9.760000,9.780000,9.750000,9.770000,9.770000,185400
20:10:54,657 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-11,9.770000,9.780000,9.750000,9.780000,9.780000,9500
20:10:54,659 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-12,9.780000,9.780000,9.760000,9.770000,9.770000,320600
20:10:54,661 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-13,9.760000,9.770000,9.750000,9.760000,9.760000,623700
20:10:54,663 [JavaFX Application Thread] INFO  HistQuotes2Request - Parsing CSV line: 2021-10-14,9.770000,9.770000,9.740000,9.760000,9.760000,89800
